0 THERMODYNAMIC AND TRANSPORT PROPERTIES FOR METHANE PC=45.66 ATM,TC=190.77 K,ROC=.162 G/CC
 THERMODYNAMIC PROPERTY TABLE --- CH4
           1.00 ATMOSPHERE ISOBAR
   T     density  entropy  enthalpy    Cp     Cv       c    gamma
    K    gm/cc     J/G-K     J/gm    J/gm-K  J/gm-K  cm/sec
   5.5  2.0513E-01   2.61    62.60  -0.0807 -0.3630  247.081 0.222
   6.0  2.0369E-01   2.65    62.85   0.9817  0.6424  641.191 1.528
   6.5  2.0218E-01   2.76    63.54   1.7413  1.3378  585.189 1.302
   7.0  2.0059E-01   2.91    64.55   2.3079  1.8345  568.500 1.258
   7.5  1.9893E-01   3.08    65.82   2.7449  2.1976  559.461 1.249
   8.0  1.9720E-01   3.27    67.28   3.0907  2.4670  553.187 1.253
   8.5  1.9541E-01   3.47    68.90   3.3700  2.6689  548.212 1.263
   9.0  1.9356E-01   3.67    70.64   3.5994  2.8209  543.954 1.276
   9.5  1.9167E-01   3.87    72.49   3.7903  2.9353  540.143 1.291
  10.0  1.8974E-01   4.07    74.43   3.9513  3.0212  536.636 1.308
  20.0  1.4938E-01   7.29   121.57   5.1616  3.1730  496.379 1.627
  30.0  1.1618E-01   9.47   175.39   5.5256  3.1237  497.497 1.769
  40.0  9.3195E-02  11.07   231.00   5.5671  3.1157  519.512 1.787
  50.0  7.7515E-02  12.30   286.45   5.5180  3.1148  547.860 1.772
  60.0  6.6362E-02  13.30   341.35   5.4621  3.1149  577.274 1.754
  70.0  5.8059E-02  14.14   395.73   5.4155  3.1151  606.182 1.738
  80.0  5.1640E-02  14.86   449.69   5.3789  3.1153  634.146 1.727
  90.0  4.6526E-02  15.49   503.33   5.3503  3.1154  661.086 1.717
 100.0  4.2352E-02  16.06   556.72   5.3278  3.1155  687.036 1.710
 200.0  2.2475E-02  19.71  1083.76   5.2376  3.1158  906.472 1.681
 300.0  1.5347E-02  21.83  1606.21   5.2152  3.1158 1081.618 1.674
 400.0  1.1662E-02  23.33  2127.23   5.2063  3.1158 1231.796 1.671
 500.0  9.4067E-03  24.49  2647.61   5.2019  3.1158 1365.408 1.669
 600.0  7.8834E-03  25.44  3167.66   5.1993  3.1158 1486.984 1.669
 THE REGION 125-145K FOR T AND P GREATER THAN 10 ATM
 YIELDS POOR RESULTS FOR THE DERIVED PROEPRTIES--BEWARE. 
0 THERMODYNAMIC AND TRANSPORT PROPERTIES FOR FLUORINE  PC=54ATM, TC=144.31K, RHOC=.3974G/CC
 THERMODYNAMIC PROPERTY TABLE --- F2 
           1.00 ATMOSPHERE ISOBAR
   T     density  entropy  enthalpy    Cp     Cv       c    gamma
    K    gm/cc     J/G-K     J/gm    J/gm-K  J/gm-K  cm/sec
  70.0  1.6023E+00   2.00  -134.25   1.4997  0.8924  948.313 1.681
  75.0  1.5696E+00   2.10  -126.75   1.4977  0.8674  905.737 1.727
  80.0  1.5362E+00   2.20  -119.29   1.4866  0.8305  866.816 1.790
  85.0  5.6319E-03   4.33    61.38   0.8169  0.5654  158.470 1.445
  90.0  5.2892E-03   4.37    65.44   0.8072  0.5618  163.563 1.437
  95.0  4.9888E-03   4.42    69.46   0.8000  0.5592  168.444 1.431
 100.0  4.7229E-03   4.46    73.44   0.7945  0.5572  173.142 1.426
 105.0  4.4854E-03   4.50    77.40   0.7903  0.5558  177.680 1.422
 110.0  4.2718E-03   4.53    81.35   0.7871  0.5548  182.075 1.419
 115.0  4.0783E-03   4.57    85.27   0.7847  0.5542  186.340 1.416
 120.0  3.9023E-03   4.60    89.19   0.7829  0.5539  190.489 1.413
 125.0  3.7412E-03   4.63    93.10   0.7816  0.5538  194.530 1.411
 130.0  3.5933E-03   4.66    97.01   0.7807  0.5539  198.471 1.409
 135.0  3.4569E-03   4.69   100.91   0.7801  0.5542  202.320 1.408
 140.0  3.3307E-03   4.72   104.81   0.7798  0.5547  206.083 1.406
 145.0  3.2136E-03   4.75   108.71   0.7798  0.5553  209.765 1.404
 150.0  3.1045E-03   4.78   112.61   0.7800  0.5560  213.372 1.403
 155.0  3.0027E-03   4.80   116.51   0.7804  0.5568  216.907 1.401
 160.0  2.9075E-03   4.83   120.41   0.7809  0.5578  220.374 1.400
 165.0  2.8182E-03   4.85   124.32   0.7816  0.5588  223.776 1.399
 170.0  2.7343E-03   4.87   128.23   0.7824  0.5599  227.118 1.397
 175.0  2.6553E-03   4.90   132.14   0.7833  0.5611  230.401 1.396
 180.0  2.5807E-03   4.92   136.06   0.7843  0.5624  233.629 1.395
 185.0  2.5103E-03   4.94   139.99   0.7854  0.5637  236.803 1.393
 190.0  2.4436E-03   4.96   143.92   0.7866  0.5651  239.927 1.392
 195.0  2.3805E-03   4.98   147.85   0.7879  0.5665  243.002 1.391
 200.0  2.3205E-03   5.00   151.79   0.7892  0.5681  246.030 1.389
 220.0  2.1082E-03   5.08   167.64   0.7952  0.5746  257.709 1.384
 240.0  1.9316E-03   5.15   183.61   0.8021  0.5818  268.769 1.379
 260.0  1.7825E-03   5.21   199.72   0.8095  0.5894  279.289 1.373
 280.0  1.6548E-03   5.27   215.99   0.8173  0.5975  289.337 1.368
 300.0  1.5442E-03   5.33   232.42   0.8255  0.6058  298.967 1.363
 320.0  1.4474E-03   5.38   249.01   0.8338  0.6142  308.228 1.357
 340.0  1.3621E-03   5.43   265.77   0.8422  0.6227  317.160 1.352
 360.0  1.2864E-03   5.48   282.70   0.8506  0.6312  325.797 1.348
 380.0  1.2186E-03   5.53   299.79   0.8589  0.6395  334.170 1.343
 400.0  1.1576E-03   5.57   317.05   0.8670  0.6477  342.306 1.339
 500.0  9.2591E-04   5.77   405.64   0.9034  0.6843  380.140 1.320
 THERMODYNAMIC PROPERTY TABLE --- F2 
          51.47 ATMOSPHERE ISOBAR
   T     density  entropy  enthalpy    Cp     Cv       c    gamma
    K    gm/cc     J/G-K     J/gm    J/gm-K  J/gm-K  cm/sec
  70.0  1.6116E+00   1.99  -131.95   1.4894  0.8963  968.955 1.662
  75.0  1.5801E+00   2.09  -124.51   1.4848  0.8706  928.716 1.705
  80.0  1.5479E+00   2.18  -117.11   1.4703  0.8329  892.436 1.765
  85.0  1.5150E+00   2.27  -109.80   1.4554  0.7920  858.057 1.838
  90.0  1.4810E+00   2.36  -102.54   1.4490  0.7564  823.061 1.916
  95.0  1.4458E+00   2.43   -95.27   1.4582  0.7328  785.044 1.990
 100.0  1.4091E+00   2.51   -87.92   1.4870  0.7244  742.510 2.053
 105.0  1.3706E+00   2.58   -80.37   1.5350  0.7298  695.565 2.103
 110.0  1.3298E+00   2.66   -72.54   1.5980  0.7427  645.813 2.152
 115.0  1.2861E+00   2.73   -64.38   1.6689  0.7527  595.459 2.217
 120.0  1.2386E+00   2.80   -55.85   1.7176  0.7234  551.524 2.374
 125.0  1.1859E+00   2.87   -46.94   1.8216  0.7207  498.713 2.528
 130.0  1.1253E+00   2.95   -37.56   1.9862  0.7222  440.863 2.750
 135.0  1.0512E+00   3.03   -27.25   2.2937  0.7302  375.315 3.141
 140.0  9.4657E-01   3.12   -14.22   3.1523  0.7523  294.962 4.190
 145.0  3.8834E-01   3.53    44.82  10.3767  0.8307  160.53712.491
