  alt    sigma     delta    theta   temp    press      dens    a    visc  k.visc
  Km                                  K    N/sq.m   kg/cu.m   m/s  kg/m-s sq.m/s
 530 2.6487E-13 1.9531E-12 3.4688  999.5 1.979E-07 3.245E-13 633.8 41.51 1.28E+08
 535 2.4505E-13 1.8245E-12 3.4689  999.6 1.849E-07 3.002E-13 633.8 41.51 1.38E+08
 540 2.2681E-13 1.7055E-12 3.4691  999.6 1.728E-07 2.778E-13 633.8 41.51 1.49E+08
 545 2.1002E-13 1.5956E-12 3.4692  999.6 1.617E-07 2.573E-13 633.8 41.51 1.61E+08
 550 1.9455E-13 1.4939E-12 3.4693  999.7 1.514E-07 2.383E-13 633.8 41.51 1.74E+08
 555 1.8030E-13 1.3999E-12 3.4694  999.7 1.418E-07 2.209E-13 633.8 41.51 1.88E+08
 560 1.6716E-13 1.3128E-12 3.4694  999.7 1.330E-07 2.048E-13 633.8 41.51 2.03E+08
 565 1.5505E-13 1.2322E-12 3.4695  999.7 1.249E-07 1.899E-13 633.9 41.52 2.19E+08
 570 1.4388E-13 1.1575E-12 3.4696  999.8 1.173E-07 1.763E-13 633.9 41.52 2.36E+08
 575 1.3358E-13 1.0883E-12 3.4696  999.8 1.103E-07 1.636E-13 633.9 41.52 2.54E+08
 580 1.2407E-13 1.0241E-12 3.4697  999.8 1.038E-07 1.520E-13 633.9 41.52 2.73E+08
 585 1.1529E-13 9.6461E-13 3.4698  999.8 9.774E-08 1.412E-13 633.9 41.52 2.94E+08
 590 1.0719E-13 9.0940E-13 3.4698  999.8 9.214E-08 1.313E-13 633.9 41.52 3.16E+08
 595 9.9706E-14 8.5815E-13 3.4699  999.8 8.695E-08 1.221E-13 633.9 41.52 3.40E+08
 600 9.2790E-14 8.1056E-13 3.4699  999.9 8.213E-08 1.137E-13 633.9 41.52 3.65E+08
 605 8.6398E-14 7.6635E-13 3.4699  999.9 7.765E-08 1.058E-13 633.9 41.52 3.92E+08
 610 8.0488E-14 7.2525E-13 3.4700  999.9 7.349E-08 9.860E-14 633.9 41.52 4.21E+08
 615 7.5022E-14 6.8702E-13 3.4700  999.9 6.961E-08 9.190E-14 633.9 41.52 4.52E+08
 620 6.9967E-14 6.5142E-13 3.4700  999.9 6.600E-08 8.571E-14 633.9 41.52 4.84E+08
 625 6.5290E-14 6.1824E-13 3.4701  999.9 6.264E-08 7.998E-14 633.9 41.52 5.19E+08
 630 6.0962E-14 5.8731E-13 3.4701  999.9 5.951E-08 7.468E-14 633.9 41.52 5.56E+08
 635 5.6955E-14 5.5845E-13 3.4701  999.9 5.659E-08 6.977E-14 633.9 41.52 5.95E+08
 640 5.3245E-14 5.3150E-13 3.4701  999.9 5.385E-08 6.522E-14 633.9 41.52 6.37E+08
 645 4.9808E-14 5.0632E-13 3.4702  999.9 5.130E-08 6.101E-14 633.9 41.52 6.80E+08
 650 4.6624E-14 4.8277E-13 3.4702  999.9 4.892E-08 5.711E-14 633.9 41.52 7.27E+08
 655 4.3672E-14 4.6074E-13 3.4702  999.9 4.668E-08 5.350E-14 633.9 41.52 7.76E+08
 660 4.0936E-14 4.4011E-13 3.4702  999.9 4.459E-08 5.015E-14 633.9 41.52 8.28E+08
 665 3.8398E-14 4.2078E-13 3.4702  999.9 4.264E-08 4.704E-14 633.9 41.52 8.83E+08
 670 3.6044E-14 4.0265E-13 3.4702 1000.0 4.080E-08 4.415E-14 633.9 41.52 9.40E+08
 675 3.3859E-14 3.8565E-13 3.4703 1000.0 3.908E-08 4.148E-14 633.9 41.52 1.00E+09
 680 3.1831E-14 3.6969E-13 3.4703 1000.0 3.746E-08 3.899E-14 633.9 41.52 1.06E+09
 685 2.9948E-14 3.5470E-13 3.4703 1000.0 3.594E-08 3.669E-14 633.9 41.52 1.13E+09
 690 2.8198E-14 3.4062E-13 3.4703 1000.0 3.451E-08 3.454E-14 633.9 41.52 1.20E+09
 695 2.6572E-14 3.2737E-13 3.4703 1000.0 3.317E-08 3.255E-14 633.9 41.52 1.28E+09
 700 2.5060E-14 3.1491E-13 3.4703 1000.0 3.191E-08 3.070E-14 633.9 41.52 1.35E+09
 705 2.3654E-14 3.0318E-13 3.4703 1000.0 3.072E-08 2.898E-14 633.9 41.52 1.43E+09
 710 2.2346E-14 2.9213E-13 3.4703 1000.0 2.960E-08 2.737E-14 633.9 41.52 1.52E+09
 715 2.1128E-14 2.8170E-13 3.4703 1000.0 2.854E-08 2.588E-14 633.9 41.52 1.60E+09
 720 1.9993E-14 2.7186E-13 3.4703 1000.0 2.755E-08 2.449E-14 633.9 41.52 1.70E+09
 725 1.8935E-14 2.6257E-13 3.4703 1000.0 2.660E-08 2.320E-14 633.9 41.52 1.79E+09
 730 1.7948E-14 2.5378E-13 3.4704 1000.0 2.571E-08 2.199E-14 633.9 41.52 1.89E+09
 735 1.7027E-14 2.4545E-13 3.4704 1000.0 2.487E-08 2.086E-14 633.9 41.52 1.99E+09
 740 1.6167E-14 2.3757E-13 3.4704 1000.0 2.407E-08 1.980E-14 633.9 41.52 2.10E+09
 745 1.5363E-14 2.3009E-13 3.4704 1000.0 2.331E-08 1.882E-14 633.9 41.52 2.21E+09
 750 1.4612E-14 2.2300E-13 3.4704 1000.0 2.260E-08 1.790E-14 633.9 41.52 2.32E+09
 755 1.3909E-14 2.1626E-13 3.4704 1000.0 2.191E-08 1.704E-14 633.9 41.52 2.44E+09
 760 1.3251E-14 2.0984E-13 3.4704 1000.0 2.126E-08 1.623E-14 633.9 41.52 2.56E+09
 765 1.2635E-14 2.0374E-13 3.4704 1000.0 2.064E-08 1.548E-14 633.9 41.52 2.68E+09
 770 1.2058E-14 1.9793E-13 3.4704 1000.0 2.006E-08 1.477E-14 633.9 41.52 2.81E+09
 775 1.1517E-14 1.9238E-13 3.4704 1000.0 1.949E-08 1.411E-14 633.9 41.52 2.94E+09
 780 1.1009E-14 1.8709E-13 3.4704 1000.0 1.896E-08 1.349E-14 633.9 41.52 3.08E+09
 785 1.0533E-14 1.8203E-13 3.4704 1000.0 1.844E-08 1.290E-14 633.9 41.52 3.22E+09
 790 1.0086E-14 1.7720E-13 3.4704 1000.0 1.795E-08 1.236E-14 633.9 41.52 3.36E+09
 795 9.6665E-15 1.7257E-13 3.4704 1000.0 1.749E-08 1.184E-14 633.9 41.52 3.51E+09
 800 9.2720E-15 1.6813E-13 3.4704 1000.0 1.704E-08 1.136E-14 633.9 41.52 3.66E+09
 805 8.9011E-15 1.6387E-13 3.4704 1000.0 1.660E-08 1.090E-14 633.9 41.52 3.81E+09
 810 8.5523E-15 1.5979E-13 3.4704 1000.0 1.619E-08 1.048E-14 633.9 41.52 3.96E+09
 815 8.2237E-15 1.5586E-13 3.4704 1000.0 1.579E-08 1.007E-14 633.9 41.52 4.12E+09
 820 7.9140E-15 1.5209E-13 3.4704 1000.0 1.541E-08 9.695E-15 633.9 41.52 4.28E+09
 825 7.6220E-15 1.4847E-13 3.4704 1000.0 1.504E-08 9.337E-15 633.9 41.52 4.45E+09
